medicamento,frecuencia,duracion,id
Paracetamol 500mg,3 veces al día,7 días,1
Ibuprofeno 100mg,3 veces al día,2 días,2
Ibuprofeno 500mg,3 veces al día,10 días,3
Omeprazol 20mg,1 vez al día,14 días,4
Ibuprofeno 400mg,2 veces al día,5 días,5
Dextrometorfano 15mg,2 veces al día,5 días,6
Amoxicilina 500mg,3 veces al día,10 días,7
,,,8
Dextrometorfano 15mg,2 veces al día,7 días,9
Ibuprofeno 400mg,3 veces al día,10 días,10
Sumatriptán 50mg,1 vez cuando sea necesario,10 días,11
Aspirina 81mg,1 vez al día,30 días,12
Salbutamol inhalador,2 veces al día,Según sea necesario,13
Paracetamol 500mg,2 veces al día,15 días,14
Ondansetrón 4mg,2 veces al día,3 días,15
Hidrocortisona crema,2 veces al día,7 días,16
Amoxicilina 500mg,3 veces al día,7 días,17
Paracetamol 500mg,3 veces al día,5 días,18
Betahistina 8mg,2 veces al día,7 días,19
Loratadina 10mg,1 vez al día,10 días,20
Ibuprofeno 400mg,2 veces al día,7 días,21
Ibuprofeno 400mg,3 veces al día,5 días,22
Ibuprofeno 400mg,2 veces al día,10 días,23
Ibuprofeno 400mg,2 veces al día,14 días,24
