descripcion,created_at,updated_at,disabled_at,id
Migraña,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,1
Gastritis leve,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,2
Apendicitis,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,3
Gastritis,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,4
Lumbalgia,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,5
Gripe,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,6
Bronquitis,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,7
Infección viral,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,8
Apendicitis aguda,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,9
Hipertensión,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,10
Cataratas,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,11
Hernia discal,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,12
Diabetes Tipo 2,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,13
Lesión de menisco,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,14
Angina de pecho,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,15
Ansiedad,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,16
Asma,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,17
Hernia inguinal,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,18
Artrosis,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,19
Gastroenteritis,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,20
Colecistitis,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,21
Dermatitis de contacto,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,22
Neumonía,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,23
Reflujo gástrico,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,24
Otitis,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,25
Influenza,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,26
Vertigo,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,27
Alergia,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,28
Contractura muscular,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,29
Amigdalitis,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,30
Otitis media,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,31
Artritis,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,32
Infección respiratoria,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,33
Vértigo,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,34
Hernia umbilical,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,35
Alergia estacional,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,36
Hipotiroidismo,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,37
Lesión de ligamento,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,38
Amigdalitis crónica,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,39
Dermatitis atópica,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,40
Faringitis estreptocócica,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,41
Faringitis,2024-06-27 01:59:52.443075,2024-06-27 01:59:52.443075,,42
