descripcion,created_at,updated_at,disabled_at,id
Dolor de cabeza,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,1
Dolor de Estómago,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,2
Dolor fuerte de Estómago,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,3
Tos,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,4
Dolor abdominal,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,5
Fiebre,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,6
Dolor de espalda,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,7
Chequeo de rutina,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,8
Tos persistente,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,9
Visión borrosa,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,10
Fatiga y sed excesiva,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,11
Dolor de rodilla,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,12
Dolor torácico,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,13
Palpitaciones y estrés,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,14
Problemas respiratorios,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,15
Dolor en la ingle,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,16
Dolor en la rodilla,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,17
Chequeo de presión arterial,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,18
Náuseas,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,19
Erupción cutánea,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,20
Fiebre y tos,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,21
Tos y fiebre,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,22
Dolor en el pecho,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,23
Dificultad para respirar,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,24
Dolor en el oído,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,25
Fiebre y dolor muscular,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,26
Dolor de estómago,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,27
Mareos,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,28
Dolor de garganta,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,29
Dolor de oído,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,30
Dolor articular,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,31
Estornudos y congestión,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,32
Fatiga y aumento de peso,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,33
Dolor de garganta y fiebre,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,34
Dolor de cabeza severo,2024-06-27 10:35:38.787797,2024-06-27 10:35:38.787797,,35
